2024-04-16 02:02:53 install libselinux1:amd64 <none> 3.3-1build2
2024-04-16 02:02:53 status half-installed libselinux1:amd64 3.3-1build2
2024-04-16 02:02:53 status unpacked libselinux1:amd64 3.3-1build2
2024-04-16 02:02:53 install libsemanage-common:all <none> 3.3-1build2
2024-04-16 02:02:53 status half-installed libsemanage-common:all 3.3-1build2
2024-04-16 02:02:53 status unpacked libsemanage-common:all 3.3-1build2
2024-04-16 02:02:53 install libsemanage2:amd64 <none> 3.3-1build2
2024-04-16 02:02:53 status half-installed libsemanage2:amd64 3.3-1build2
2024-04-16 02:02:53 status unpacked libsemanage2:amd64 3.3-1build2
2024-04-16 02:02:53 install libsepol2:amd64 <none> 3.3-1build1
2024-04-16 02:02:53 status half-installed libsepol2:amd64 3.3-1build1
2024-04-16 02:02:53 status unpacked libsepol2:amd64 3.3-1build1
2024-04-16 02:02:53 install libsmartcols1:amd64 <none> 2.37.2-4ubuntu3
2024-04-16 02:02:53 status half-installed libsmartcols1:amd64 2.37.2-4ubuntu3
2024-04-16 02:02:53 status unpacked libsmartcols1:amd64 2.37.2-4ubuntu3
2024-04-16 02:02:53 install libss2:amd64 <none> 1.46.5-2ubuntu1
2024-04-16 02:02:53 status half-installed libss2:amd64 1.46.5-2ubuntu1
2024-04-16 02:02:53 status unpacked libss2:amd64 1.46.5-2ubuntu1
2024-04-16 02:02:53 install libssl3:amd64 <none> 3.0.2-0ubuntu1
2024-04-16 02:02:53 status half-installed libssl3:amd64 3.0.2-0ubuntu1
2024-04-16 02:02:53 status unpacked libssl3:amd64 3.0.2-0ubuntu1
2024-04-16 02:02:53 install libsystemd0:amd64 <none> 249.11-0ubuntu3
2024-04-16 02:02:53 status half-installed libsystemd0:amd64 249.11-0ubuntu3
2024-04-16 02:02:53 status unpacked libsystemd0:amd64 249.11-0ubuntu3
2024-04-16 02:02:53 install libtinfo6:amd64 <none> 6.3-2
2024-04-16 02:02:53 status half-installed libtinfo6:amd64 6.3-2
2024-04-16 02:02:53 status unpacked libtinfo6:amd64 6.3-2
2024-04-16 02:02:53 install libtirpc-common:all <none> 1.3.2-2build1
2024-04-16 02:02:53 status half-installed libtirpc-common:all 1.3.2-2build1
2024-04-16 02:02:53 status unpacked libtirpc-common:all 1.3.2-2build1
2024-04-16 02:02:54 install libtirpc3:amd64 <none> 1.3.2-2build1
2024-04-16 02:02:54 status half-installed libtirpc3:amd64 1.3.2-2build1
2024-04-16 02:02:54 status unpacked libtirpc3:amd64 1.3.2-2build1
2024-04-16 02:02:54 install libudev1:amd64 <none> 249.11-0ubuntu3
2024-04-16 02:02:54 status half-installed libudev1:amd64 249.11-0ubuntu3
2024-04-16 02:02:54 status unpacked libudev1:amd64 249.11-0ubuntu3
2024-04-16 02:02:54 install libuuid1:amd64 <none> 2.37.2-4ubuntu3
2024-04-16 02:02:54 status half-installed libuuid1:amd64 2.37.2-4ubuntu3
2024-04-16 02:02:54 status unpacked libuuid1:amd64 2.37.2-4ubuntu3
2024-04-16 02:02:54 install libzstd1:amd64 <none> 1.4.8+dfsg-3build1
2024-04-16 02:02:54 status half-installed libzstd1:amd64 1.4.8+dfsg-3build1
2024-04-16 02:02:54 status unpacked libzstd1:amd64 1.4.8+dfsg-3build1
2024-04-16 02:02:54 install login:amd64 <none> 1:4.8.1-2ubuntu2
2024-04-16 02:02:54 status half-installed login:amd64 1:4.8.1-2ubuntu2
2024-04-16 02:02:54 status unpacked login:amd64 1:4.8.1-2ubuntu2
2024-04-16 02:02:54 install logsave:amd64 <none> 1.46.5-2ubuntu1
2024-04-16 02:02:54 status half-installed logsave:amd64 1.46.5-2ubuntu1
2024-04-16 02:02:54 status unpacked logsave:amd64 1.46.5-2ubuntu1
2024-04-16 02:02:54 install lsb-base:all <none> 11.1.0ubuntu4
2024-04-16 02:02:54 status half-installed lsb-base:all 11.1.0ubuntu4
2024-04-16 02:02:54 status unpacked lsb-base:all 11.1.0ubuntu4
2024-04-16 02:02:54 upgrade mawk:amd64 1.3.4.20200120-3 1.3.4.20200120-3
